osmid,x,y
173089840,-79.661404,36.360626
173089842,-79.6629981,36.3606269
173089846,-79.67354,36.352109
173089847,-79.673276,36.353171
173089851,-79.673135,36.353742
173089853,-79.673035,36.35415
173089857,-79.679795,36.413112
173089861,-79.67818,36.413176
173089865,-79.782117,36.289883
173089901,-79.783949,36.292752
173089908,-79.663956,36.367941
173089910,-79.663578,36.3679727
173089914,-79.661906,36.36809
173089942,-79.6578371,36.3687572
173089945,-79.6576903,36.3687822
173089958,-79.657984,36.356728
173089971,-79.6578514,36.3582644
173089988,-79.657622,36.361368
173089990,-79.657618,36.361705
173089992,-79.657616,36.362244
173090023,-79.8214782,36.2648959
173090061,-79.819632,36.259712
173090064,-79.819606,36.259678
173090076,-79.9002395,36.4734374
173090085,-79.9042313,36.473321
173090091,-79.8309007,36.4611371
173090132,-79.831783,36.46279
173090140,-79.7016448,36.3620948
173090143,-79.7014447,36.3624229
173090162,-79.7010301,36.3651585
173090169,-79.701509,36.36604
173090269,-79.705886,36.380538
173090277,-79.7063866,36.3817267
173090288,-79.693187,36.432627
173090346,-79.695801,36.429224
173090433,-79.9101882,36.473866
173090436,-79.912807,36.473834
173090475,-79.608214,36.369241
173090477,-79.608228,36.370617
173090482,-79.608206,36.371871
173090493,-79.608084,36.373126
173090503,-79.607957,36.374335
173090512,-79.607691,36.375163
173090531,-79.607828,36.376273
173090538,-79.607836,36.37652
173090544,-79.6077507,36.3768023
173090566,-79.953263,36.328775
173090569,-79.952392,36.32875
173090592,-79.947502,36.328648
173090605,-79.766806,36.436576
173090644,-79.767614,36.437082
173090685,-79.802253,36.484027
173090733,-79.7919334,36.317951
173090781,-79.791933,36.324786
173090794,-79.905051,36.397138
173090809,-79.9024,36.398576
173090856,-79.900677,36.404406
173090863,-79.901078,36.396484
173090913,-79.6757562,36.3336516
173090927,-79.6764794,36.3333023
173091016,-79.661737,36.339246
173091042,-79.591237,36.4052
173091051,-79.9783641,36.4221397
173091058,-79.977086,36.421708
173091059,-79.975304,36.421139
173091068,-79.9741088,36.42077
173091087,-79.9705855,36.4196461
173091144,-79.795492,36.450674
173091149,-79.799069,36.448997
173091170,-79.725807,36.284766
173091252,-79.724039,36.289257
173091264,-79.661304,36.355477
173091304,-79.662261,36.358286
173091312,-79.66253,36.358896
173091317,-79.662603,36.359121
173091327,-79.6630433,36.3616117
173091346,-79.942701,36.375149
173091351,-79.9441409,36.3756157
173091364,-79.945924,36.377199
173091383,-79.947321,36.380159
173091387,-79.947652,36.380802
173091398,-79.949786,36.383334
173091419,-79.953154,36.384837
173091499,-79.6865965,36.3251307
173091540,-79.681672,36.329195
