sim_time,reservation_time_trigger,RV_computation_time,Update_V2RB_computation_time,Compute_V2RB_computation_time,Solve_assignment_computation_time,N_V2RBs_at_start,N_V2RBs_after_update,N_V2RBs_after_build,N_Rqs_unassigned,N_Rqs_assigned,N_Rqs_locked,user_requests,request_batch
3840,0.0,0.2865121364593506,0.0,0.0,0.0020055770874023438,0.0,0.0,0.0,48,1540,229,0.3129500000000001,0.28764
3900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51218,0.0
3960,0.0,0.28659510612487793,0.0,0.0,0.0,0.0,0.0,0.0,64,1587,232,0.6011299999999998,0.29325
4020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4356,0.0
4080,0.0,0.34296464920043945,0.0,0.0,0.0,0.0,0.0,0.0,66,1651,240,0.39835,0.35254
4140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40551000000000004,0.0
4200,0.0,0.24321961402893066,0.0,0.0,0.0,0.0,0.0,0.0,57,1690,249,0.31679,0.26201
4260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30060000000000003,0.0
4320,0.0,0.3742845058441162,0.0,0.0,0.001744985580444336,0.0,0.0,0.0,62,1751,255,0.26071999999999995,0.37491
4380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33977,0.0
4440,0.0,0.4264557361602783,0.0,0.0,0.0,0.0,0.0,0.0,76,1821,257,0.6122800000000002,0.42306
4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43337999999999993,0.0
4560,0.0,0.3490872383117676,0.0,0.0,0.0,0.0,0.0,0.0,85,1892,265,0.46924999999999983,0.37115
4620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4751,0.0
4680,0.0,0.42569804191589355,0.0,0.0,0.017191410064697266,0.0,0.0,0.0,82,1953,273,0.7379499999999999,0.44831
4740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3893299999999999,0.0
4800,0.0,0.3131110668182373,0.0,0.0,0.000850677490234375,0.0,0.0,0.0,72,2013,277,0.40555000000000013,0.31844
4860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40428,0.0
4920,0.0,0.47967004776000977,0.0,0.0,0.0,0.0,0.0,0.0,90,2093,284,0.52884,0.49346
4980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62531,0.0
5040,0.0,0.46007204055786133,0.0,0.0,0.0,0.0,0.0,0.0,86,2163,289,0.62591,0.4552
5100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47495000000000004,0.0
5160,0.0,0.4918050765991211,0.0,0.0,0.0,0.0,0.0,0.0,94,2251,296,0.5621499999999998,0.49601
5220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34941999999999995,0.0
5280,0.0,0.5686526298522949,0.0,0.0,0.015688419342041016,0.0,0.0,0.0,102,2337,309,0.47641000000000006,0.58177
5340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3903100000000001,0.0
5400,0.0,0.4895801544189453,0.0,0.0,0.0,0.0,0.0,0.0,101,2430,313,0.8099100000000001,0.50386
5460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5567599999999998,0.0
5520,0.0,0.4760429859161377,0.0,0.0,0.0,0.0,0.0,0.0,84,2538,316,0.41392999999999996,0.47777
5580,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4754499999999998,0.0
5640,0.0,0.6506197452545166,0.0,0.0,0.0,0.0,0.0,0.0,125,2614,322,0.5280600000000001,0.66615
5700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5347499999999998,0.0
5760,0.0,0.4777035713195801,0.0,0.0,0.0,0.0,0.0,0.0,92,2713,322,0.36627000000000015,0.48112
5820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5158800000000001,0.0
5880,0.0,0.7100448608398438,0.0,0.0,0.0,0.0,0.0,0.0,128,2804,332,0.6705399999999999,0.71324
5940,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5190700000000003,0.0
6000,0.0,0.5894174575805664,0.0,0.0,0.0,0.0,0.0,0.0,131,2896,344,0.73054,0.60853
6060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5176199999999999,0.0
6120,0.0,0.5585811138153076,0.0,0.0,0.0,0.0,0.0,0.0,124,2998,345,0.5312200000000001,0.57432
6180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5876500000000001,0.0
6240,0.0,0.48694825172424316,0.0,0.0,0.0,0.0,0.0,0.0,99,3082,352,0.39304999999999995,0.50398
6300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.60596,0.0
6360,0.0,0.6651010513305664,0.0,0.0,0.0,0.0,0.0,0.0,116,3183,353,0.87983,0.67476
6420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38777000000000006,0.0
6480,0.0,0.4456779956817627,0.0,0.0,0.016060829162597656,0.0,0.0,0.0,137,3229,358,0.5761099999999998,0.45782
6540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45120000000000005,0.0
6600,0.0,0.6617391109466553,0.0,0.0,0.0020029544830322266,0.0,0.0,0.0,132,3310,360,0.5616999999999998,0.67221
6660,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5609000000000002,0.0
6720,0.0,0.6170744895935059,0.0,0.0,0.0,0.0,0.0,0.0,117,3370,367,0.44024000000000013,0.6262
6780,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6004799999999997,0.0
6840,0.0,0.5346474647521973,0.0,0.0,0.0,0.0,0.0,0.0,123,3427,372,0.53174,0.54642
6900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47945000000000004,0.0
6960,0.0,0.4102473258972168,0.0,0.0,0.0,0.0,0.0,0.0,121,3439,377,0.49805,0.43157
7020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46803000000000006,0.0
7080,0.0,0.7464697360992432,0.0,0.0,0.0020036697387695312,0.0,0.0,0.0,145,3500,384,0.54773,0.75152
7140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4259900000000001,0.0
7200,0.0,0.4830775260925293,0.0,0.0,0.0,0.0,0.0,0.0,112,3530,385,0.49518999999999996,0.49087
7260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5380799999999999,0.0
7320,0.0,0.6163723468780518,0.0,0.0,0.002002716064453125,0.0,0.0,0.0,122,3584,385,0.5505099999999996,0.62717
7380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45629000000000003,0.0
7440,0.0,0.46322131156921387,0.0,0.0,0.0017430782318115234,0.0,0.0,0.0,115,3644,386,0.44554000000000005,0.47224
7500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4684999999999999,0.0
7560,0.0,0.5413417816162109,0.0,0.0,0.0020041465759277344,0.0,0.0,0.0,107,3702,391,0.36818999999999974,0.55373
7620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45023000000000013,0.0
7680,0.0,0.5100247859954834,0.0,0.0,0.0,0.0,0.0,0.0,112,3780,392,0.3853399999999999,0.52285
7740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4878200000000001,0.0
7800,0.0,0.3976607322692871,0.0,0.0,0.00200653076171875,0.0,0.0,0.0,105,3794,393,0.40380000000000016,0.39775
7860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49672000000000005,0.0
7920,0.0,0.5230984687805176,0.0,0.0,0.0,0.0,0.0,0.0,116,3825,394,0.5751200000000001,0.54226
7980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5221899999999998,0.0
8040,0.0,0.5009191036224365,0.0,0.0,0.0038912296295166016,0.0,0.0,0.0,115,3899,395,0.53655,0.51226
8100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4725300000000001,0.0
8160,0.0,0.44686317443847656,0.0,0.0,0.0,0.0,0.0,0.0,125,3961,395,0.4763400000000001,0.45672
8220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51719,0.0
8280,0.0,0.490772008895874,0.0,0.0,0.001743316650390625,0.0,0.0,0.0,125,3988,401,0.4785299999999999,0.50069
8340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5626300000000002,0.0
8400,0.0,0.41450023651123047,0.0,0.0,0.0,0.0,0.0,0.0,115,3993,402,0.43491999999999986,0.42018
8460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41903000000000024,0.0
8520,0.0,0.4185633659362793,0.0,0.0,0.0,0.0,0.0,0.0,115,4002,402,0.3874899999999998,0.42544
8580,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35024,0.0
8640,0.0,0.49303603172302246,0.0,0.0,0.0,0.0,0.0,0.0,116,4020,402,0.5269599999999999,0.50314
8700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39291000000000004,0.0
8760,0.0,0.323347806930542,0.0,0.0,0.002005338668823242,0.0,0.0,0.0,100,4037,403,0.3813899999999999,0.33296
8820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38383,0.0
8880,0.0,0.37738943099975586,0.0,0.0,0.0,0.0,0.0,0.0,80,4065,405,0.33724000000000004,0.39972
8940,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4224,0.0
9000,0.0,0.34361767768859863,0.0,0.0,0.002003192901611328,0.0,0.0,0.0,86,4088,406,0.33448000000000006,0.3559
9060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37834999999999996,0.0
9120,0.0,0.42911505699157715,0.0,0.0,0.0,0.0,0.0,0.0,95,4108,408,0.3252900000000001,0.45144
9180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3506799999999999,0.0
9240,0.0,0.32437729835510254,0.0,0.0,0.016061782836914062,0.0,0.0,0.0,91,4124,410,0.2929299999999999,0.34239
9300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31105,0.0
9360,0.0,0.4122800827026367,0.0,0.0,0.0,0.0,0.0,0.0,99,4137,411,0.36771000000000004,0.42604
9420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2773699999999999,0.0
9480,0.0,0.4454944133758545,0.0,0.0,0.0,0.0,0.0,0.0,111,4156,411,0.42109000000000013,0.46022
9540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22974,0.0
9600,0.0,0.31246066093444824,0.0,0.0,0.0,0.0,0.0,0.0,75,4164,413,0.23739999999999992,0.33138
9660,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28218000000000004,0.0
9720,0.0,0.2440321445465088,0.0,0.0,0.0,0.0,0.0,0.0,66,4175,414,0.231,0.26068
9780,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27723999999999993,0.0
9840,0.0,0.20576834678649902,0.0,0.0,0.0,0.0,0.0,0.0,64,4177,415,0.2333500000000001,0.21517
9900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24964999999999993,0.0
9960,0.0,0.2860829830169678,0.0,0.0,0.0,0.0,0.0,0.0,70,4189,415,0.31886,0.2854
10020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28254999999999986,0.0
10080,0.0,0.18931126594543457,0.0,0.0,0.0020072460174560547,0.0,0.0,0.0,59,4192,415,0.22293000000000002,0.2032
10140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19147999999999998,0.0
10200,0.0,0.2282733917236328,0.0,0.0,0.0,0.0,0.0,0.0,70,4197,416,0.23202000000000006,0.24124
10260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20702999999999996,0.0
10320,0.0,0.1563112735748291,0.0,0.0,0.0020024776458740234,0.0,0.0,0.0,50,4201,416,0.20486999999999997,0.16748
10380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17415999999999998,0.0
10440,0.0,0.17397832870483398,0.0,0.0,0.0020036697387695312,0.0,0.0,0.0,42,4205,417,0.18016000000000001,0.1837
10500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12481,0.0
10560,0.0,0.1623079776763916,0.0,0.0,0.0017445087432861328,0.0,0.0,0.0,43,4206,418,0.15108,0.16838
10620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21720999999999996,0.0
10680,0.0,0.1437690258026123,0.0,0.0,0.004053592681884766,0.0,0.0,0.0,41,4207,419,0.13720999999999997,0.15837
10740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20949999999999994,0.0
10800,0.0,0.17771530151367188,0.0,0.0,0.0,0.0,0.0,0.0,34,4210,419,0.12437,0.19129
10860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16956999999999997,0.0
10920,0.0,0.0940859317779541,0.0,0.0,0.0,0.0,0.0,0.0,31,4210,421,0.11766000000000003,0.10959
10980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12924000000000002,0.0
11040,0.0,0.09554648399353027,0.0,0.0,0.002004384994506836,0.0,0.0,0.0,29,4209,423,0.13741,0.10703
11100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06169000000000001,0.0
11160,0.0,0.06919646263122559,0.0,0.0,0.0,0.0,0.0,0.0,20,4211,423,0.06709999999999999,0.08203
11220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14068,0.0
11280,0.0,0.09064745903015137,0.0,0.0,0.0,0.0,0.0,0.0,29,4211,423,0.0995,0.10086
11340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08208,0.0
11400,0.0,0.10450339317321777,0.0,0.0,0.0,0.0,0.0,0.0,28,4212,423,0.10433999999999997,0.11952
11460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12535999999999997,0.0
11520,0.0,0.12621164321899414,0.0,0.0,0.0,0.0,0.0,0.0,28,4215,423,0.09973999999999998,0.14125
11580,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08503,0.0
11640,0.0,0.05598282814025879,0.0,0.0,0.0,0.0,0.0,0.0,18,4215,424,0.050800000000000005,0.07542
11700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14059,0.0
11760,0.0,0.09468436241149902,0.0,0.0,0.0,0.0,0.0,0.0,24,4216,424,0.08516,0.10821
11820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09572999999999997,0.0
11880,0.0,0.07378435134887695,0.0,0.0,0.0,0.0,0.0,0.0,19,4217,424,0.08844,0.09022
11940,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05349000000000001,0.0
12000,0.0,0.1021430492401123,0.0,0.0,0.0,0.0,0.0,0.0,26,4218,424,0.11758,0.12052
12060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10346,0.0
12120,0.0,0.11220192909240723,0.0,0.0,0.004013776779174805,0.0,0.0,0.0,20,4218,424,0.10350999999999999,0.1337
12180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06551999999999998,0.0
12240,0.0,0.023056983947753906,0.0,0.0,0.0030884742736816406,0.0,0.0,0.0,5,4219,424,0.02626,0.03716
12300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06569,0.0
12360,0.0,0.08948349952697754,0.0,0.0,0.0,0.0,0.0,0.0,20,4219,424,0.08536,0.10845
12420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09122,0.0
12480,0.0,0.0831749439239502,0.0,0.0,0.002006053924560547,0.0,0.0,0.0,14,4222,424,0.049350000000000005,0.1021
12540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04709,0.0
12600,0.0,0.03802204132080078,0.0,0.0,0.0020034313201904297,0.0,0.0,0.0,11,4223,424,0.03513,0.04467
12660,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025760000000000005,0.0
12720,0.0,0.02504444122314453,0.0,0.0,0.0,0.0,0.0,0.0,10,4222,425,0.02403,0.03386
12780,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05859,0.0
