request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
202,BasicRequest,1,180,180,76;-1;-1,75;-1;-1,,,,,1184.2284268179008,21238.102303824897,0:,,,,,,,,0
205,BasicRequest,1,180,180,76;-1;-1,79;-1;-1,,,,,891.4946287809217,17215.989466630876,0:,,,,,,,,0
208,BasicRequest,1,240,240,76;-1;-1,131;-1;-1,,,,,1930.9985893253543,36282.85370627444,0:,,,,,,,,0
209,BasicRequest,1,240,240,155;-1;-1,63;-1;-1,,,,,1364.4282175117007,29966.24450698283,0:,,,,,,,,0
211,BasicRequest,1,240,240,77;-1;-1,75;-1;-1,,,,,1220.786848395757,21796.48937268286,0:,,,,,,,,0
212,BasicRequest,1,240,240,2;-1;-1,70;-1;-1,,,,,2588.381495198731,54408.6656808775,0:,,,,,,,,0
221,BasicRequest,1,240,240,81;-1;-1,59;-1;-1,,,,,1471.442093560067,28611.292050886805,0:,,,,,,,,0
224,BasicRequest,1,240,240,45;-1;-1,61;-1;-1,,,,,1425.8197907671397,26174.848326261766,0:,,,,,,,,0
225,BasicRequest,1,240,240,66;-1;-1,84;-1;-1,,,,,1658.3540566297306,33587.0774687807,0:,,,,,,,,0
230,BasicRequest,1,240,240,66;-1;-1,157;-1;-1,,,,,2060.8206293912717,45558.07614480516,0:,,,,,,,,0
233,BasicRequest,1,240,240,154;-1;-1,45;-1;-1,,,,,499.7913460896046,10318.895259410201,0:,,,,,,,,0
234,BasicRequest,1,300,300,77;-1;-1,78;-1;-1,,,,,41.89481648018328,639.8942504914223,0:,,,,,,,,0
235,BasicRequest,1,300,300,105;-1;-1,70;-1;-1,,,,,2477.732744559219,52718.63561733077,0:,,,,,,,,0
242,BasicRequest,1,300,300,1;-1;-1,76;-1;-1,,,,,2580.254810041143,53457.338168499875,0:,,,,,,,,0
245,BasicRequest,1,300,300,77;-1;-1,75;-1;-1,,,,,1220.786848395757,21796.48937268286,0:,,,,,,,,0
246,BasicRequest,1,300,300,76;-1;-1,46;-1;-1,,,,,2227.0254089431764,45042.10450863495,0:,,,,,,,,0
250,BasicRequest,1,300,300,112;-1;-1,77;-1;-1,,,,,2698.9771810838447,57046.57055808249,0:,,,,,,,,0
256,BasicRequest,1,360,360,63;-1;-1,122;-1;-1,,,,,2534.5569282262186,49364.213091733836,0:,,,,,,,,0
258,BasicRequest,1,360,360,128;-1;-1,70;-1;-1,,,,,415.651394422276,8290.815929259858,0:,,,,,,,,0
259,BasicRequest,1,360,360,63;-1;-1,43;-1;-1,,,,,911.3974305078012,17423.836446062644,0:,,,,,,,,0
262,BasicRequest,1,360,360,76;-1;-1,144;-1;-1,,,,,1247.747859596648,26992.202663315846,0:,,,,,,,,0
266,BasicRequest,1,360,360,76;-1;-1,43;-1;-1,,,,,778.3876780057903,14949.982822033908,0:,,,,,,,,0
267,BasicRequest,1,360,360,112;-1;-1,81;-1;-1,,,,,2053.9013973346723,43724.94479273737,0:,,,,,,,,0
269,BasicRequest,1,360,360,43;-1;-1,76;-1;-1,,,,,778.3876780057901,14949.982822033908,0:,,,,,,,,0
270,BasicRequest,1,360,360,83;-1;-1,140;-1;-1,,,,,950.6315879755039,18722.869103231205,0:,,,,,,,,0
272,BasicRequest,1,360,360,77;-1;-1,80;-1;-1,,,,,941.3230741382581,17977.06060559069,0:,,,,,,,,0
276,BasicRequest,1,360,360,59;-1;-1,82;-1;-1,,,,,234.7950216194177,4675.4942476721235,0:,,,,,,,,0
278,BasicRequest,1,360,360,43;-1;-1,63;-1;-1,,,,,899.8241090646745,17010.69801247768,0:,,,,,,,,0
279,BasicRequest,1,360,360,76;-1;-1,131;-1;-1,,,,,1930.9985893253543,36282.85370627444,0:,,,,,,,,0
280,BasicRequest,1,360,360,76;-1;-1,43;-1;-1,,,,,778.3876780057903,14949.982822033908,0:,,,,,,,,0
