operator_id,vehicle_id,vehicle_type,status,locked,start_time,end_time,start_pos,end_pos,driven_distance,start_soc,end_soc,charging_power,charging_unit,toll,rq_on_board,occupancy,rq_boarding,rq_alighting,route,trajectory
0,1,rockingham_vehtype,route,False,120.0,300.0,3608;-1;-1,5515;2520;0.933,3006.5623645097858,0.8575946831862098,0.8572940269497589,0.0,,0,,0,,,3608;500;2454;866;3609;3610;1505;5515,3608:120;500:138.63772464231988;2454:163.75167419464796;866:187.22626805478353;3609:193.18818465611196;3610:211.26284772646449;1505:219.65246189658745;5515:229.90955222744478
0,5,rockingham_vehtype,boarding,True,142.31481325161312,322.31481325161315,120;-1;-1,120;-1;-1,0.0,0.8196753441122986,0.8196753441122986,0.0,,0,178,1,178,,,
0,7,rockingham_vehtype,boarding,True,149.729913682898,329.729913682898,114;-1;-1,114;-1;-1,0.0,0.7722128965931071,0.7722128965931071,0.0,,0,33,1,33,,,
0,11,rockingham_vehtype,route,False,290.664449753688,360.0,24;-1;-1,1427;5326;0.077,1075.6434692361931,0.886936222341326,0.8868286579944024,0.0,,0,19;170,2,,,24;25;3977;3976;3494;1413;1427,24:290.664449753688;25:305.49034941575064;3977:313.997052468318;3976:315.37528717923806;3494:325.82109785268835;1413:347.2443273041309;1427:356.00455799807025
0,13,rockingham_vehtype,route,False,300.0,360.0,3801;346;0.546,4741;2953;0.158,1158.0822323049,0.7639255841355629,0.7638097759123323,0.0,,0,,0,,,3801;346;5460;3311;4011;5050;1866;3413;5054;2820;153;6497;1575;4741,3801:300;346:306.0731086524713;5460:306.63798233953884;3311:307.5107413548659;4011:308.8041264004423;5050:312.8493040612861;1866:315.8805622012061;3413:318.89616263901365;5054:323.6138004020133;2820:337.11333390609883;153:338.80197389447295;6497:341.0654539196991;1575:353.1034366011643;4741:359.0573435774323
0,2,rockingham_vehtype,route,False,0.0,391.1827430228392,6435;-1;-1,75;-1;-1,7494.033874307487,0.8995792821083618,0.8988298787209312,0.0,,0,,0,,,6435;4450;4449;2112;2111;2110;2109;504;2108;985;2107;2106;2105;868;6463;6462;3389;3390;74;75,6435:0;4450:18.15635207192604;4449:29.301608786570696;2112:38.88175183862669;2111:63.19967712989275;2110:64.8252896935171;2109:104.86692040365074;504:122.33107125677357;2108:124.68781904776336;985:128.82735168810729;2107:142.4264571049619;2106:158.66080352394854;2105:189.0380492823196;868:202.00051791905562;6463:254.6233509078585;6462:264.5279039808275;3389:266.60723882929966;3390:369.0115781984811;74:378.5295580226392;75:391.1827430228392
0,6,rockingham_vehtype,boarding,True,193.22227017915066,373.22227017915066,131;-1;-1,131;-1;-1,0.0,0.9162846911802032,0.9162846911802032,0.0,,0,124;190,2,190,,,
0,12,rockingham_vehtype,boarding,True,221.7819324835447,401.78193248354467,70;-1;-1,70;-1;-1,0.0,0.9345896575821409,0.9345896575821409,0.0,,0,187,1,187,,,
0,15,rockingham_vehtype,boarding,True,212.0736977478865,392.0736977478865,86;-1;-1,86;-1;-1,0.0,0.8899020711544131,0.8899020711544131,0.0,,0,138,1,138,,,
0,4,rockingham_vehtype,route,False,300.0,420.0,2242;3216;0.462,919;1099;0.132,2045.1678103694962,0.8223597865280315,0.8221552697469946,0.0,,0,,0,,,2242;3216;920;919,2242:300;3216:350.25099226702736;920:362.35943950373536;919:406.9255299835501
0,3,rockingham_vehtype,boarding,True,246.16863131386373,426.1686313138637,82;-1;-1,82;-1;-1,0.0,0.9624510204954664,0.9624510204954664,0.0,,0,201,1,201,,,
0,4,rockingham_vehtype,route,False,420.0,480.0,919;1099;0.132,919;1099;0.735,916.4297222222222,0.8221552697469946,0.8220636267747724,0.0,,0,,0,,,919,919:420
0,5,rockingham_vehtype,boarding,True,322.31481325161315,502.31481325161315,120;-1;-1,120;-1;-1,0.0,0.8196753441122986,0.8196753441122986,0.0,,0,178;254,2,254,,,
0,11,rockingham_vehtype,route,True,360.0,525.352222451306,1427;5326;0.077,24;-1;-1,2577.9549952427146,0.8868286579944024,0.8865708624948782,0.0,,0,19;170,2,,,1427;5326;1427;1413;3494;3976;3977;25;24,1427:360;5326:408.00833610249697;1427:460.01211420692374;1413:468.7723449008631;3494:490.19557435230564;3976:500.64138502575594;3977:502.019619736676;25:510.52632278924335;24:525.352222451306
0,13,rockingham_vehtype,route,False,360.0,514.4360502555359,4741;2953;0.158,70;-1;-1,2827.5769130132812,0.7638097759123323,0.763527018221031,0.0,,0,,0,,,4741;2953;2954;2955;2956;2957;2304;5343;3564;5344;4314;69;70,4741:360;2953:365.02621940858216;2954:373.0889508618154;2955:382.99246036752066;2956:400.59433315366874;2957:405.7574128601714;2304:423.12605386714677;5343:438.1241689996957;3564:450.9669637373354;5344:462.38601866954815;4314:476.3854169542723;69:512.0330182317226;70:514.4360502555359
0,1,rockingham_vehtype,route,False,300.0,540.0,5515;2520;0.933,1768;1767;0.702,4434.200026455024,0.8572940269497589,0.8568506069471136,0.0,,0,,0,,,5515;2520;3301;1499;5514;3514;1986;5293;1770;1769;6540;1768,5515:300;2520:305.02563957526917;3301:348.270444609129;1499:370.15954662804273;5514:373.4191961404926;3514:440.99574201996325;1986:472.45791649520174;5293:499.14553073834895;1770:519.959483271515;1769:528.4011270760078;6540:536.0448759228651;1768:537.1738587277138
0,0,rockingham_vehtype,route,False,240.0,540.0,3024;140;0.792,5345;4093;0.891,6011.318392255892,0.6912312371452525,0.6906301053060268,0.0,,0,,0,,,3024;140;3024;5109;5555;5345,3024:240;140:251.48729730496024;3024:306.6169123608809;5109:343.9796439448928;5555:394.1323475375615;5345:459.8521034964347
0,15,rockingham_vehtype,route,False,420.0,540.0,86;-1;-1,3012;3048;0.733,2309.2359826501875,0.8899020711544131,0.8896711475561481,0.0,,0,138,1,,,86;87;83;2203;3138;4017;2405;6554;6553;2249;6555;3045;3046;3047;305;291;5753;3012,86:420;87:436.2234692600073;83:436.44385317781826;2203:445.733330390037;3138:454.9183271667804;4017:465.11097924896717;2405:479.8505973454612;6554:493.2152689794613;6553:493.83764793875446;2249:496.04832205083386;6555:497.7675181465734;3045:507.7648395226356;3046:511.4426141675371;3047:513.8046057646562;305:522.9759256479804;291:534.9334007044181;5753:537.7658777189591;3012:539.2396764109887
0,2,rockingham_vehtype,boarding,True,391.1827430228392,571.1827430228392,75;-1;-1,75;-1;-1,0.0,0.8988298787209312,0.8988298787209312,0.0,,0,158;186;215;253,4,158;186;215;253,,,
0,6,rockingham_vehtype,boarding,True,373.22227017915066,553.2222701791507,131;-1;-1,131;-1;-1,0.0,0.9162846911802032,0.9162846911802032,0.0,,0,124;190;264,3,264,,,
0,10,rockingham_vehtype,route,False,120.0,589.1632748065438,2877;-1;-1,158;-1;-1,10466.649101253317,0.9458865003910399,0.9448398354809145,0.0,,0,,0,,,2877;6410;2087;463;2423;641;395;2190;5698;158,2877:120;6410:178.3623004171115;2087:205.54520849554393;463:272.42159592167656;2423:311.8789258523921;641:389.0820523167375;395:413.843553791621;2190:440.0345610428458;5698:567.5295126036843;158:589.1632748065438
