DateOfTrip,Mobility Aid,Trip Purpose,OrigX,OrigY,DestX,DestY
2024-04-19,,UMAR,36.497,-79.779,36.359,-79.664
2024-04-19,,UMAR,36.359,-79.664,36.497,-79.779
2024-04-19,,UMAR,36.522,-79.693,36.359,-79.664
2024-04-19,,UMAR,36.359,-79.664,36.522,-79.693
2024-04-19,,Employment,36.466,-79.883,36.359,-79.664
2024-04-19,,Employment,36.359,-79.664,36.466,-79.883
2024-04-19,,UMAR,36.395,-79.675,36.359,-79.664
2024-04-19,,UMAR,36.459,-79.907,36.359,-79.664
2024-04-19,,UMAR,36.359,-79.664,36.459,-79.907
2024-04-19,,UMAR,36.505,-79.706,36.359,-79.664
2024-04-19,,UMAR,36.359,-79.664,36.505,-79.706
2024-04-19,,UMAR,36.37,-79.662,36.359,-79.664
2024-04-19,,UMAR,36.359,-79.664,36.37,-79.662
2024-04-19,,UMAR,36.418,-79.761,36.359,-79.664
2024-04-19,,UMAR,36.359,-79.664,36.418,-79.761
2024-04-19,,UMAR,36.522,-79.77,36.359,-79.664
2024-04-19,,UMAR,36.359,-79.664,36.522,-79.77
2024-04-19,,UMAR,36.359,-79.664,36.395,-79.675
2024-04-20,,Dialysis,36.499,-79.851,36.324,-79.641
2024-04-20,,Dialysis,36.324,-79.641,36.499,-79.851
2024-04-20,,Dialysis,36.359,-79.68,36.331,-79.692
2024-04-20,,Dialysis,36.331,-79.692,36.359,-79.68
2024-04-20,,Dialysis,36.497,-79.766,36.324,-79.641
2024-04-20,,Dialysis,36.324,-79.641,36.497,-79.766
2024-04-20,,Dialysis,36.489,-79.783,36.493,-79.747
2024-04-20,,Dialysis,36.493,-79.747,36.489,-79.783
2024-04-20,,Dialysis,36.398,-79.742,36.331,-79.692
2024-04-20,,Dialysis,36.331,-79.692,36.398,-79.742
2024-04-20,,Dialysis,36.403,-79.97,36.324,-79.641
2024-04-20,,Dialysis,36.324,-79.641,36.403,-79.97
2024-04-20,,Dialysis,36.362,-79.678,36.324,-79.641
2024-04-20,,Dialysis,36.324,-79.641,36.362,-79.678
2024-04-20,WC,Dialysis,36.352,-79.689,36.331,-79.692
2024-04-20,WC,Dialysis,36.331,-79.692,36.352,-79.689
2024-04-20,WC,Dialysis,36.352,-79.657,36.324,-79.641
2024-04-20,,Dialysis,36.353,-79.656,36.324,-79.641
2024-04-20,,Dialysis,36.324,-79.641,36.353,-79.656
2024-04-20,,Dialysis,36.405,-79.828,36.324,-79.641
2024-04-20,,Dialysis,36.324,-79.641,36.405,-79.828
2024-04-20,WK,Dialysis,36.404,-79.968,36.493,-79.747
2024-04-20,WK,Dialysis,36.493,-79.747,36.404,-79.968
2024-04-20,WK,Dialysis,36.316,-79.95,36.324,-79.641
2024-04-20,WK,Dialysis,36.324,-79.641,36.316,-79.95
2024-04-20,,Dialysis,42.342,-71.05,36.324,-79.641
2024-04-20,,Dialysis,36.324,-79.641,42.342,-71.05
2024-04-20,BL,Dialysis,36.492,-79.766,36.493,-79.747
2024-04-20,BL,Dialysis,36.493,-79.747,36.492,-79.766
2024-04-22,,Employment,36.512,-79.694,36.511,-79.785
2024-04-22,,Employment,36.511,-79.785,36.512,-79.694
2024-04-22,,Employment,36.512,-79.694,36.511,-79.785
2024-04-22,,Employment,36.511,-79.785,36.512,-79.694
2024-04-22,BL,Dialysis,36.369,-79.659,36.331,-79.692
2024-04-22,BL,Dialysis,36.331,-79.692,36.369,-79.659
2024-04-22,,Medical,36.351,-79.695,36.341,-79.692
2024-04-22,,Medical,36.341,-79.692,36.351,-79.695
2024-04-22,,Employment,36.523,-79.745,36.497,-79.795
2024-04-22,,Dialysis,36.35,-79.654,36.331,-79.692
2024-04-22,,Dialysis,36.331,-79.692,36.35,-79.654
2024-04-22,,Medical,36.352,-79.689,36.336,-79.694
2024-04-22,,Medical,36.336,-79.694,36.352,-79.689
2024-04-22,WC,Dialysis,36.491,-79.736,36.493,-79.747
2024-04-22,WC,Dialysis,36.493,-79.747,36.491,-79.736
2024-04-22,,Employment,36.346,-79.667,36.461,-79.925
2024-04-22,,Employment,36.461,-79.925,36.346,-79.667
2024-04-22,,Medical,36.468,-79.904,36.489,-79.74
2024-04-22,,Medical,36.489,-79.74,36.468,-79.904
2024-04-22,,Employment,36.49,-79.909,36.362,-79.905
2024-04-22,,Employment,36.362,-79.905,36.49,-79.909
2024-04-22,,Medical,36.497,-79.805,36.353,-79.667
2024-04-22,,Other,36.488,-79.768,36.386,-79.748
2024-04-22,,Other,36.386,-79.748,36.488,-79.768
2024-04-22,,Medical,36.358,-79.753,36.509,-79.74
2024-04-22,,Medical,36.509,-79.74,36.358,-79.753
2024-04-22,,Medical,36.409,-79.972,36.353,-79.667
2024-04-22,,Medical,36.353,-79.667,36.409,-79.972
2024-04-22,,Other,36.492,-79.73,36.329,-79.684
2024-04-22,,Medical,36.496,-79.74,36.418,-79.659
2024-04-22,,Medical,36.353,-79.667,36.497,-79.805
2024-04-22,BL,Dialysis,36.343,-79.662,36.493,-79.747
2024-04-22,BL,Dialysis,36.493,-79.747,36.343,-79.662
2024-04-22,,Dialysis,36.37,-79.859,36.331,-79.692
2024-04-22,,Dialysis,36.331,-79.692,36.37,-79.859
2024-04-22,WC,Dialysis,36.493,-79.747,36.536,-79.805
2024-04-22,WC,Dialysis,36.536,-79.805,36.493,-79.747
2024-04-22,,Dialysis,36.454,-79.901,36.324,-79.641
2024-04-22,,Dialysis,36.324,-79.641,36.454,-79.901
2024-04-22,WK,Dialysis,36.334,-79.661,36.331,-79.692
2024-04-22,WK,Dialysis,36.331,-79.692,36.334,-79.661
2024-04-22,WK,Dialysis,36.504,-79.632,36.493,-79.747
2024-04-22,WK,Dialysis,36.493,-79.747,36.504,-79.632
2024-04-22,,Dialysis,36.352,-79.689,36.331,-79.692
2024-04-22,,Dialysis,36.331,-79.692,36.352,-79.689
2024-04-22,WC,Dialysis,36.341,-79.765,36.324,-79.641
2024-04-22,WC,Dialysis,36.324,-79.641,36.341,-79.765
2024-04-22,WK,Dialysis,36.48,-79.659,36.493,-79.747
2024-04-22,WK,Dialysis,36.493,-79.747,36.48,-79.659
2024-04-22,WC,Dialysis,36.443,-79.986,36.493,-79.747
2024-04-22,WC,Dialysis,36.493,-79.747,36.443,-79.986
2024-04-22,,LEAF Center,36.363,-79.67,36.33,-79.664
2024-04-22,,LEAF Center,36.33,-79.664,36.363,-79.67
2024-04-22,,Community Support CSP,36.389,-79.742,36.252,-79.66
2024-04-22,,Community Support CSP,36.252,-79.66,36.389,-79.742
2024-04-22,,Medical,36.508,-79.778,36.488,-79.74
2024-04-22,,Medical,36.352,-79.681,36.355,-79.67
2024-04-22,,Medical,36.355,-79.67,36.352,-79.681
2024-04-22,,Medical,36.488,-79.74,36.508,-79.778
2024-04-22,,Medical,36.516,-79.692,36.497,-79.742
2024-04-22,,Medical,36.497,-79.742,36.516,-79.692
2024-04-22,,Community Support CSP,36.352,-79.655,36.389,-79.742
2024-04-22,,Community Support CSP,36.417,-79.805,36.389,-79.742
2024-04-22,,Community Support CSP,36.389,-79.742,36.417,-79.805
2024-04-22,,Medical,36.391,-79.972,36.395,-79.969
2024-04-22,,Medical,36.395,-79.969,36.391,-79.972
2024-04-22,WC,Dialysis,36.326,-79.666,36.331,-79.692
2024-04-22,WC,Dialysis,36.331,-79.692,36.326,-79.666
2024-04-22,,Medical,36.491,-79.759,36.353,-79.667
2024-04-22,,Medical,36.353,-79.667,36.403,-79.673
2024-04-22,,Medical,36.403,-79.673,36.491,-79.759
2024-04-22,NL,Dialysis,36.488,-79.783,36.324,-79.641
2024-04-22,NL,Dialysis,36.324,-79.641,36.488,-79.783
2024-04-22,,Community Support CSP,36.325,-79.661,36.389,-79.742
2024-04-22,,Community Support CSP,36.389,-79.742,36.325,-79.661
2024-04-22,WC,LEAF Center,36.503,-79.782,36.363,-79.67
2024-04-22,WC,LEAF Center,36.363,-79.67,36.503,-79.782
2024-04-22,,LEAF Center,36.346,-79.667,36.363,-79.67
2024-04-22,,LEAF Center,36.363,-79.67,36.346,-79.667
2024-04-22,WC,Medical,36.325,-79.661,36.355,-79.666
2024-04-22,,Community Support CSP,36.328,-79.664,36.389,-79.742
2024-04-22,,Community Support CSP,36.389,-79.742,36.328,-79.664
2024-04-22,WK,Medical,36.388,-79.669,36.353,-79.667
2024-04-22,WK,Medical,36.353,-79.667,36.388,-79.669
2024-04-22,,Medical,36.328,-79.664,36.353,-79.667
2024-04-22,,Medical,36.353,-79.667,36.328,-79.664
2024-04-22,WC,Dialysis,36.426,-79.906,36.324,-79.641
2024-04-22,WC,Dialysis,36.324,-79.641,36.426,-79.906
2024-04-22,,Medical,36.469,-79.901,36.36,-79.665
2024-04-22,,Medical,36.36,-79.665,36.469,-79.901
2024-04-22,WC,Medical,36.328,-79.664,36.34,-79.684
2024-04-22,WC,Medical,36.34,-79.684,36.328,-79.664
2024-04-22,CA,Medical,36.418,-79.982,36.388,-79.966
2024-04-22,CA,Medical,36.388,-79.966,36.418,-79.982
2024-04-22,,Community Support CSP,36.511,-79.702,36.389,-79.742
2024-04-22,,Community Support CSP,36.389,-79.742,36.511,-79.702
2024-04-22,,Medical,36.343,-79.6,36.353,-79.667
2024-04-22,,Medical,36.353,-79.667,36.343,-79.6
2024-04-22,,Dialysis,36.358,-79.674,36.324,-79.641
2024-04-22,,Dialysis,36.324,-79.641,36.358,-79.674
2024-04-22,CA,Medical,36.366,-79.676,36.476,-79.737
2024-04-22,CA,Medical,36.476,-79.737,36.366,-79.676
2024-04-22,,Medical,36.521,-79.773,36.388,-79.966
