origin_zone,dest_zone,trips,travel_time,distance_miles
71,70,73,11,6.417
72,61,4,24,14.0
72,77,3,8,4.667
72,81,13,9,5.25
73,3,1,19,11.083
73,39,3,25,14.583
73,43,1,19,11.083
73,46,1,16,9.333
73,56,2,23,13.417
73,62,2,16,9.333
73,63,4,15,8.75
73,66,1,13,7.583
73,70,1,6,3.5
73,81,4,11,6.417
73,82,1,19,11.083
73,83,175,15,8.75
73,93,2,8,4.667
73,154,2,18,10.5
74,70,4,4,2.333
74,77,1,8,4.667
74,80,2,11,6.417
75,7,1,12,7.0
75,46,23,26,15.167
75,47,1,34,19.833
75,59,6,27,15.75
75,60,2,29,16.917
75,61,2,25,14.583
75,62,11,26,15.167
75,63,183,24,14.0
75,64,7,21,12.25
75,65,4,26,15.167
75,66,57,23,13.417
75,69,6,16,9.333
75,70,628,9,5.25
75,75,64,0,0.0
75,76,101,9,5.25
75,77,297,8,4.667
75,78,1,8,4.667
75,79,12,8,4.667
75,80,6,7,4.083
75,81,244,7,4.083
75,82,1,20,11.667
75,83,465,15,8.75
75,84,1,20,11.667
75,91,11,11,6.417
75,93,1,17,9.917
75,95,2,21,12.25
75,104,2,21,12.25
75,112,1,39,22.75
75,118,2,40,23.333
75,120,1,42,24.5
75,129,16,35,20.417
75,131,5,40,23.333
75,135,2,43,25.083
75,138,5,21,12.25
75,153,4,33,19.25
75,156,1,23,13.417
75,163,1,30,17.5
76,1,147,17,9.917
76,33,165,45,26.25
76,43,151,29,16.917
76,46,185,26,15.167
76,51,89,38,22.167
76,70,187,12,7.0
76,75,104,10,5.833
76,78,151,10,5.833
76,79,283,9,5.25
76,81,243,11,6.417
76,88,127,25,14.583
76,91,152,13,7.583
76,101,24,15,8.75
76,119,104,38,22.167
76,131,146,43,25.083
76,134,28,41,23.917
76,137,143,33,19.25
76,144,36,42,24.5
77,1,1,21,12.25
77,3,1,13,7.583
77,5,5,14,8.167
77,7,1,11,6.417
77,8,99,18,10.5
77,12,1,16,9.333
77,14,16,19,11.083
77,19,1,10,5.833
77,24,46,36,21.0
77,26,2,45,26.25
77,30,3,39,22.75
77,32,1,30,17.5
77,40,2,23,13.417
77,42,1,29,16.917
77,43,9,27,15.75
77,46,40,25,14.583
77,50,4,23,13.417
77,55,1,38,22.167
77,58,2,30,17.5
77,59,3,26,15.167
77,61,26,24,14.0
77,62,42,24,14.0
77,63,10,23,13.417
77,65,1,24,14.0
77,66,1,22,12.833
77,69,2,14,8.167
77,70,316,9,5.25
77,72,3,10,5.833
77,74,3,10,5.833
77,75,296,8,4.667
77,77,5,0,0.0
77,78,137,8,4.667
77,79,113,8,4.667
77,80,154,9,5.25
77,81,591,7,4.083
77,82,124,17,9.917
77,86,32,22,12.833
77,87,89,7,4.083
77,90,3,11,6.417
77,91,115,7,4.083
77,93,6,15,8.75
77,95,1,19,11.083
77,98,2,18,10.5
77,99,3,13,7.583
77,104,3,20,11.667
77,112,19,37,21.583
77,118,2,38,22.167
77,119,2,36,21.0
77,120,7,39,22.75
77,122,1,45,26.25
77,125,140,38,22.167
77,129,2,32,18.667
77,131,13,38,22.167
77,143,1,29,16.917
77,152,3,33,19.25
77,153,1,31,18.083
77,154,3,26,15.167
77,157,1,26,15.167
77,158,8,26,15.167
78,63,1,25,14.583
78,70,1,11,6.417
78,75,1,8,4.667
78,76,153,11,6.417
78,77,138,7,4.083
78,78,2,0,0.0
78,81,2,9,5.25
79,62,1,23,13.417
79,63,6,22,12.833
79,64,8,18,10.5
79,66,9,20,11.667
79,69,2,14,8.167
79,70,35,7,4.083
79,74,1,9,5.25
79,75,12,8,4.667
79,76,328,9,5.25
79,77,117,9,5.25
79,78,1,12,7.0
79,79,2,0,0.0
79,81,97,6,3.5
79,82,10,18,10.5
79,83,227,13,7.583
79,84,1,19,11.083
79,129,3,33,19.25
