origin_zone,dest_zone,trips,travel_time,distance_miles
129,43,9,25,14.583
129,45,3,31,18.083
129,46,9,28,16.333
129,56,10,27,15.75
129,59,1,35,20.417
129,62,6,33,19.25
129,63,18,28,16.333
129,65,1,33,19.25
129,66,29,31,18.083
129,69,1,33,19.25
129,70,8,31,18.083
129,75,14,34,19.833
129,77,2,31,18.083
129,79,3,33,19.25
129,81,37,31,18.083
129,82,2,26,15.167
129,83,2,24,14.0
129,85,3,23,13.417
129,86,1,28,16.333
129,93,1,37,21.583
129,95,2,38,22.167
129,100,1,36,21.0
129,106,1,24,14.0
129,107,3,24,14.0
129,112,28,9,5.25
129,115,6,21,12.25
129,117,1,20,11.667
129,118,23,18,10.5
129,119,1,18,10.5
129,120,9,16,9.333
129,121,7,24,14.0
129,122,4,26,15.167
129,129,7,0,0.0
129,130,21,13,7.583
129,131,15,12,7.0
129,132,1,9,5.25
129,133,2,16,9.333
129,134,1,13,7.583
129,136,1,13,7.583
129,138,1,14,8.167
129,144,9,21,12.25
129,147,1,15,8.75
130,25,1,14,8.167
130,62,4,31,18.083
130,63,2,25,14.583
130,82,3,31,18.083
130,129,21,13,7.583
131,24,4,14,8.167
131,46,2,25,14.583
131,62,1,30,17.5
131,63,102,25,14.583
131,66,8,28,16.333
131,75,5,39,22.75
131,76,148,41,23.917
131,77,8,36,21.0
131,81,52,36,21.0
131,82,1,31,18.083
131,91,2,34,19.833
131,93,1,34,19.833
131,102,1,29,16.917
131,107,1,22,12.833
131,112,1,8,4.667
131,119,2,16,9.333
131,120,2,14,8.167
131,122,2,24,14.0
131,129,17,11,6.417
131,131,4,0,0.0
132,63,1,28,16.333
132,66,2,31,18.083
132,81,39,33,19.25
132,82,1,28,16.333
132,84,3,22,12.833
132,129,1,11,6.417
133,82,2,33,19.25
133,83,5,32,18.667
133,129,3,16,9.333
134,76,28,40,23.333
134,112,1,18,10.5
134,129,1,14,8.167
135,75,2,43,25.083
135,81,1,39,22.75
136,82,1,30,17.5
136,83,4,28,16.333
136,129,1,12,7.0
137,76,143,33,19.25
137,137,2,0,0.0
138,64,1,19,11.083
138,70,1,17,9.917
138,75,5,21,12.25
138,81,1,17,9.917
138,129,1,14,8.167
139,66,2,37,21.583
140,81,2,26,15.167
140,83,230,19,11.083
140,140,2,0,0.0
141,81,5,25,14.583
142,66,10,28,16.333
142,81,4,17,9.917
142,83,5,13,7.583
143,77,1,27,15.75
143,81,2,27,15.75
144,76,36,41,23.917
144,85,4,35,20.417
144,129,10,21,12.25
144,144,1,0,0.0
145,63,2,26,15.167
145,83,1,31,18.083
146,63,1,21,12.25
146,64,2,22,12.833
147,110,1,13,7.583
148,62,1,32,18.667
148,66,6,26,15.167
149,63,141,23,13.417
149,149,2,0,0.0
150,66,1,22,12.833
150,70,2,19,11.083
150,81,8,23,13.417
151,81,1,31,18.083
152,63,5,18,10.5
152,65,4,14,8.167
152,66,2,15,8.75
152,70,62,28,16.333
152,77,2,33,19.25
152,83,2,34,19.833
153,62,1,19,11.083
153,63,1,16,9.333
153,66,12,12,7.0
153,70,277,25,14.583
153,75,4,34,19.833
153,77,1,30,17.5
153,81,2,31,18.083
153,82,2,32,18.667
153,83,2,32,18.667
154,45,207,15,8.75
154,61,17,10,5.833
154,62,6,15,8.75
154,63,17,11,6.417
154,64,16,12,7.0
154,66,104,8,4.667
154,70,27,21,12.25
154,73,2,19,11.083
154,77,3,26,15.167
154,81,12,26,15.167
154,82,13,28,16.333
154,83,9,27,15.75
154,84,2,26,15.167
154,154,1,0,0.0
155,63,132,23,13.417
155,66,1,19,11.083
156,75,1,24,14.0
156,81,3,21,12.25
156,82,1,26,15.167
156,83,1,24,14.0
157,66,10,16,9.333
157,77,1,24,14.0
157,81,5,25,14.583
157,157,1,0,0.0
158,64,12,16,9.333
158,66,6,18,10.5
158,77,9,25,14.583
158,81,1,26,15.167
158,158,1,0,0.0
159,62,1,32,18.667
159,66,3,26,15.167
160,77,1,29,16.917
160,81,2,30,17.5
161,63,2,32,18.667
161,66,1,28,16.333
161,81,3,35,20.417
162,62,1,33,19.25
162,63,8,30,17.5
162,65,20,24,14.0
162,66,1,26,15.167
162,69,1,30,17.5
162,81,3,28,16.333
162,83,1,34,19.833
163,75,1,30,17.5
163,81,4,30,17.5
